Product No,Name,Price,Rating,No of reviews,URL,ASIN,Manufacturer
1,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"1,199",4.0,"(52,349)",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-1,B07CJCGM1M,Visit the American Tourister Store
2,Skybags Brat Black 46 Cms Casual Backpack,669,4.1,"(3,791)",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-2,B08Z1HHHTD,Visit the Skybags Store
3,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),565,4.3,"(9,840)",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-3,B084JGJ8PF,Brand: Wesley
4,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),499,3.9,(573),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-4,B09TPX22NF,Visit the ADISA Store
5,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,949,3.9,"(6,332)",https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-5,B097RJ22Q3,Visit the Lavie Sport Store
6,Gear CarryOn 16L Foldable Water Resistant School Bag//Backpack/College Bag for Men/Women - Blue Black,214,3.7,"(6,062)",https://www.amazon.in/GEAR-Black-Blue-Backpack-years/dp/B019HA8AYG/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-6,B019HA8AYG,Brand: Gear
7,SAFARI 15 Ltrs Sea Blue Casual/School/College Backpack (DAYPACKNEO15CBSEB),299,4.0,"(18,034)",https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-7,B07Q7CNPMV,Visit the Safari Store
8,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,849,3.9,"(2,349)",https://www.amazon.in/Half-Moon-Resistant-Backpack-Compartment/dp/B0BJ32LQ6X/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-8,B0BJ32LQ6X,Brand: Half Moon
9,"Half Moon 35L Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips",689,3.9,"(15,272)",https://www.amazon.in/Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-9,B085MHDJ93,Visit the Half Moon Store
10,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack,473,4.3,"(12,356)",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07PLKV6D1/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-10,B07PLKV6D1,Brand: Wesley
11,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",398,4.1,"(8,199)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-11,B088XB5XY8,Brand: MI
12,ADISA 35L Large Laptop Backpack Office Bag College Travel Back Pack with rain Cover (Grey),599,3.9,(36),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPVLXD53/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1679506568&sprefix=ba%2Caps%2C283&sr=8-12,B0BPVLXD53,Visit the ADISA Store
